date,workerid,amount
Mon May 29 09:14:45 PDT 2017,ALSJ5JQPC3A82,1.65
Mon May 29 09:17:11 PDT 2017,A2YCMT5BPA0AG9,1.65
Mon May 29 09:17:32 PDT 2017,AFQKLIYNCVZTL,1.65
Mon May 29 09:17:43 PDT 2017,A3FABY0Q6234WK,1.65
Mon May 29 09:18:44 PDT 2017,A1GRPIBHW72HDU,1.65
Mon May 29 09:18:53 PDT 2017,A2S4YDJ9UGAXFQ,1.65
Mon May 29 09:19:08 PDT 2017,AS1QMPXIT1EGX,1.65
Mon May 29 09:19:28 PDT 2017,AL2S45JAIGEUL,1.65
Mon May 29 09:19:55 PDT 2017,APITQRRX2PADB,1.65
Mon May 29 09:20:13 PDT 2017,A2OWVYIPSQB0QP,1.65
Mon May 29 09:20:23 PDT 2017,A8028AFBBS29G,1.65
Mon May 29 09:20:34 PDT 2017,A1LRAWZMTY08A2,1.65
Mon May 29 09:20:47 PDT 2017,A3LECJA9RVQQKZ,1.65
Mon May 29 09:20:57 PDT 2017,A1VZSFHTU51JP0,1.65
Mon May 29 09:21:47 PDT 2017,A19M261KRLO5YZ,1.65
Mon May 29 09:22:16 PDT 2017,ACN0C9HPYDTED,1.65
Mon May 29 09:22:18 PDT 2017,A3VIQ9XPOYB8K6,1.65
Mon May 29 09:22:30 PDT 2017,A1PTH9KTRO06EG,1.65
Mon May 29 09:22:40 PDT 2017,A3GM78FCDY293T,1.65
Mon May 29 09:24:55 PDT 2017,A3HE8VNBXD2BR0,1.65
Mon May 29 09:25:16 PDT 2017,A2W8ZV9DQWVHJK,1.65
Mon May 29 09:25:21 PDT 2017,A3AO2N7BNFDGF3,1.65
Mon May 29 09:26:20 PDT 2017,A26UIS59SY4NM6,1.65
Mon May 29 09:27:31 PDT 2017,A2I5850G7EOPQ2,1.65
Mon May 29 09:29:46 PDT 2017,A1UGEI18TCSIFR,1.65
Mon May 29 09:32:37 PDT 2017,A1U6A617Q95MTZ,1.65
Mon May 29 09:33:46 PDT 2017,A3D95WOVC1R775,1.65
Mon May 29 09:35:06 PDT 2017,A3L0DCUXI7X3A9,1.65
Mon May 29 09:36:56 PDT 2017,A149ROBL26JWPJ,1.65
Mon May 29 09:38:22 PDT 2017,A3J8Y94SGZ3R0E,1.65
Mon May 29 09:48:42 PDT 2017,A2ADEPVGNNXNPA,1.65
Mon May 29 09:50:45 PDT 2017,AIK9IRPT4M848,1.65
,total paid to workers:,=SUM(c2:c33)
,40% paid to Amazon:,=.4*c34
,total:,=SUM(c34:c35
